,API_NUMBER,LATITUDE,LONGITUDE
10185,120012240200.0,39.915675,-90.927279
10186,120012240300.0,39.913853,-90.927327
10189,120012240400.0,39.908658,-90.922709
15666,120012315200.0,39.912078,-90.920228
19980,120012115900.0,40.151508,-91.024247
19994,120010012000.0,40.019772,-91.081252
19995,120010008500.0,39.974757,-91.114501
19996,120010002800.0,39.943876,-91.067271
19997,120010025600.0,39.880327,-91.127102
19998,120010025601.0,39.880327,-91.127102
20120,120012206000.0,39.912363,-91.103651
20121,120012206100.0,39.879275,-91.089056
20122,120012206300.0,39.875658,-91.093861
20123,120012206500.0,39.882922,-91.089067
20124,120012206600.0,39.915977,-90.984449
20125,120012206700.0,40.051746,-90.915485
20126,120012207000.0,39.914361,-90.996383
20127,120012207600.0,39.882702,-91.060695
20128,120012207900.0,39.913949,-90.922555
20129,120012208000.0,39.915751,-90.917781
20130,120012208300.0,40.094516,-91.067294
20131,120012208400.0,40.085407,-91.081815
20132,120012208500.0,40.081761,-91.084262
20133,120012208700.0,39.95871,-91.254063
20134,120012208800.0,39.807711,-90.950799
20135,120012208900.0,39.757924,-91.0547
20136,120012209200.0,39.949853,-90.958894
20137,120012209700.0,39.857526,-91.142805
20138,120012210200.0,40.027864,-91.213721
20139,120012210300.0,39.912429,-91.113177
20140,120012210500.0,39.849187,-91.355414
20141,120010024400.0,39.887121,-90.918172
20142,120010027200.0,39.914619,-91.280081
20143,120010028800.0,40.055554,-90.935748
20144,120010029600.0,39.814299,-91.108609
20152,120010042900.0,39.915973,-91.086792
20153,120010043000.0,39.92741,-90.929253
20155,120010043100.0,39.966221,-90.963634
20156,120010043200.0,39.965692,-90.922883
20157,120010043300.0,39.922971,-90.951436
20158,120010043500.0,39.900006,-90.934653
27982,120012173201.0,39.910716,-90.958573
29575,120012315600.0,39.789269,-90.952958
29761,120012317600.0,39.835422,-90.929645
30416,120010031800.0,39.845548,-90.972822
30419,120010043700.0,39.928152,-91.046386
30420,120010040900.0,39.882719,-91.065465
31097,120012239000.0,39.924718,-90.936781
31227,120012239100.0,39.924731,-90.939144
31628,120012224200.0,39.846504,-91.214864
31632,120012224500.0,39.846453,-91.207331
31636,120012225100.0,39.846574,-91.224277
31637,120012171400.0,39.941695,-90.915725
31859,120012229600.0,39.851442,-91.164818
31868,120012229900.0,39.844521,-91.195656
31869,120012230000.0,39.844668,-91.214282
31870,120012230100.0,39.844695,-91.219668
32309,120012167300.0,39.965781,-90.932452
32310,120012167400.0,39.908614,-90.944257
32311,120012167900.0,39.810643,-91.179108
32312,120012168300.0,39.907375,-90.979693
32313,120012173500.0,39.864668,-91.088997
32314,120012174600.0,39.913977,-90.951504
32315,120012181100.0,39.898447,-90.974946
32316,120012181400.0,39.865616,-90.934576
32317,120012181700.0,39.85843,-90.925073
32318,120012188700.0,39.908849,-90.951448
32319,120012188900.0,39.884153,-91.031672
32320,120012189100.0,39.930973,-91.223489
32321,120012189200.0,39.831528,-90.984056
32322,120012189600.0,39.82786,-90.993562
32323,120012195300.0,39.976298,-90.944388
32324,120012195700.0,39.919304,-90.946589
32325,120012195800.0,39.917482,-90.946605
32326,120012195900.0,39.917496,-90.949086
32327,120012196000.0,39.917598,-90.965603
32328,120012196100.0,39.919359,-90.967883
32329,120012196400.0,39.912364,-90.967891
32330,120012204700.0,39.798488,-91.012286
32331,120012204800.0,39.787533,-91.017048
32332,120012205000.0,39.908709,-90.932223
32333,120012205100.0,39.908696,-90.929846
32334,120012205200.0,39.906957,-90.929875
32335,120012205300.0,39.905297,-90.929906
32336,120012205400.0,39.90526,-90.92755
32337,120012215500.0,39.833951,-91.135074
32338,120012216500.0,40.136255,-91.236326
32339,120012216800.0,39.844665,-91.129454
32340,120012216900.0,39.802141,-90.950741
32341,120012217000.0,39.871146,-90.920356
32629,120012176100.0,39.910631,-90.946617
32884,120010058900.0,39.876199,-91.257983
32885,120012122000.0,40.017717,-91.081751
35308,120012238500.0,39.908671,-90.925096
