,API_NUMBER,TABLE_NAME,WHO,INTERPRET_DATE,FORMATION,THICKNESS,TOP,BOTTOM,LATITUDE,LONGITUDE
0,1.20E+11,FORMATION_TOPS,nan,nan,Cedar Valley,,560,,40.080721,-90.9211
1,1.20E+11,FORMATION_TOPS,nan,nan,Keokuk,,175,,40.080721,-90.9211
2,1.20E+11,FORMATION_TOPS,nan,nan,Kinderhook,,380,,40.080721,-90.9211
3,1.20E+11,FORMATION_TOPS,nan,nan,Pennsylvanian,,5,,40.080721,-90.9211
4,1.20E+11,FORMATION_TOPS,nan,nan,Silurian,,576,,40.080721,-90.9211
5,1.20E+11,FORMATION_TOPS,nan,nan,Warsaw,,110,,40.080721,-90.9211
6,1.20E+11,WFORMATIONS,nan,nan,"Colchester No. 2 coal,Penn. carb",2,18,20,40.079858,-90.913587
7,1.20E+11,WFORMATIONS,nan,nan,fire clay at,0,20,20,40.079858,-90.913587
8,1.20E+11,WFORMATIONS,nan,nan,interval drift?,18,0,18,40.079858,-90.913587
9,1.20E+11,FORMATION_TOPS,HEL,nan,Maquoketa,,608,,40.051772,-90.995909
10,1.20E+11,FORMATION_TOPS,HEL,nan,Galena,,827,,40.059511,-90.963262
11,1.20E+11,FORMATION_TOPS,HEL,nan,Maquoketa,,651,,40.059511,-90.963262
12,1.20E+11,FORMATION_TOPS,HEL,nan,St Peter,,1118,,40.059511,-90.963262
13,1.20E+11,FORMATION_TOPS,HEL,nan,Maquoketa,,711,,40.054067,-90.932719
14,1.20E+11,WFORMATIONS,nan,nan,coal No. 2 possibly at,0,175,175,40.039934,-90.923914
15,1.20E+11,WFORMATIONS,nan,nan,interval,175,0,175,40.039934,-90.923914
16,1.20E+11,WFORMATIONS,nan,nan,coal,2,133,135,40.032768,-90.943348
17,1.20E+11,WFORMATIONS,nan,nan,fire clay,1,135,136,40.032768,-90.943348
18,1.20E+11,WFORMATIONS,nan,nan,interval ?,133,0,133,40.032768,-90.943348
19,1.20E+11,WFORMATIONS,nan,nan,"coal,Pennsylvanian or Carbondale",2,135,137,40.034531,-90.936092
20,1.20E+11,WFORMATIONS,nan,nan,fire clay,2,137,139,40.034531,-90.936092
21,1.20E+11,WFORMATIONS,nan,nan,interval,135,0,135,40.034531,-90.936092
22,1.20E+11,WFORMATIONS,nan,nan,clay & coal,37,0,37,40.029328,-90.962715
23,1.20E+11,WFORMATIONS,nan,nan,clay & soapstone,12,39,51,40.029328,-90.962715
24,1.20E+11,WFORMATIONS,nan,nan,coal & underclay,3,145,148,40.029328,-90.962715
25,1.20E+11,WFORMATIONS,nan,nan,interval,94,51,145,40.029328,-90.962715
26,1.20E+11,WFORMATIONS,nan,nan,"limestone, nodular",2,37,39,40.029328,-90.962715
27,1.20E+11,WFORMATIONS,nan,nan,black slate,1,35,36,40.10597,-91.054776
28,1.20E+11,WFORMATIONS,nan,nan,coal,1,36,37,40.10597,-91.054776
29,1.20E+11,WFORMATIONS,nan,nan,interval,35,0,35,40.10597,-91.054776
30,1.20E+11,FORMATION_TOPS,HEL,nan,Galena,,860,,40.020499,-91.090628
31,1.20E+11,FORMATION_TOPS,HEL,nan,Maquoketa,,670,,40.020499,-91.090628
32,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,SS #1584,0,0,0,40.021306,-91.086866
33,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"dolomite, sandy, silty, light gray, fine",10,170,180,40.021306,-91.086866
34,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"dolomite, slightly sandy, buff, fine",5,180,185,40.021306,-91.086866
35,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"limestone, cherty, fine/coarse, medium gray; dolomite, fine, brown-gray",10,280,290,40.021306,-91.086866
36,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"limestone, medium gray &  buff, fine/coarse, crinoidal",5,255,260,40.021306,-91.086866
37,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"limestone, partly argillaceous, medium & brownish gray, fine/coarse, crinoidal",10,245,255,40.021306,-91.086866
38,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"limestone, slight sand &  cherty, fine/coarse, light &  medium gray",5,260,265,40.021306,-91.086866
39,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"limestone, slightly cherty, medium gray, fine to coarse",5,265,270,40.021306,-91.086866
40,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"limestone, very cherty, light to medium gray, fine/coarse",5,290,295,40.021306,-91.086866
41,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"limestone, very cherty, medium gray, fine to coarse",10,270,280,40.021306,-91.086866
42,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"sandstone, calcareous, fine, gray; shale, brown-gray; limestone, very fine, light gray",5,155,160,40.021306,-91.086866
43,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"sandstone, calcareous, fine/coarse; shale, light gray; limestone, fine, cherty, gray",5,160,165,40.021306,-91.086866
44,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, black, formation; shale, silty, dark gray, weak",5,125,130,40.021306,-91.086866
45,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, black, laminated, formation; a little limestone, argillaceous, black",15,105,120,40.021306,-91.086866
46,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, black; shale, silty, dark gray; limestone, argillaceous, very fine, crinoidal",5,130,135,40.021306,-91.086866
47,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, brownish gray; shale, yellow; shale, silty, light brown; shale, black",5,150,155,40.021306,-91.086866
48,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, carbonaceous, weak; little limestone, argillaceous, dark brown, fine",10,140,150,40.021306,-91.086866
49,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, dolomitic, medium gray, weak",15,185,200,40.021306,-91.086866
50,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, silty, calcareous, dark gray, weak; shale, sandy, yellowish gray",5,120,125,40.021306,-91.086866
51,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, silty, dolomitic, medium gray, weak; dolomite, cherty, medium",15,200,215,40.021306,-91.086866
52,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, silty, dolomitic, medium gray; sandstone, dolomitic, brownish gray, fine",15,215,230,40.021306,-91.086866
53,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, silty, medium gray; limestone, argillaceous, dark gray & brown, very fine",5,135,140,40.021306,-91.086866
54,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, silty, slight sand, dolomitic, weak; limestone, argillaceous, fine, brown-gray",5,240,245,40.021306,-91.086866
55,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, silty, slightly sandy, dolomitic, medium gray, weak",10,230,240,40.021306,-91.086866
56,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, silty, slightly sandy, slightly calcareous, medium gray, weak",20,85,105,40.021306,-91.086866
57,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"shale, slightly sandy, brownish gray, formation to weak",15,70,85,40.021306,-91.086866
58,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"siltstone, calcareous; sandstone, calcareous; limestone, argillaceous, oolitic; shale, medium",5,165,170,40.021306,-91.086866
59,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"till, sand, little gravel, green-gray,  calcareous,  lime",5,65,70,40.021306,-91.086866
60,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"till, sandy, little gravel, greenish-gray",5,60,65,40.021306,-91.086866
61,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"till, sandy, little gravel, limonite brown",15,0,15,40.021306,-91.086866
62,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"till, sandy, little gravel, limonite brown brownish gray",15,45,60,40.021306,-91.086866
63,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,"till, sandy, little gravel, limonite brown, but calcareous",30,15,45,40.021306,-91.086866
64,1.20E+11,DESCRIPTIONS,SA,3/28/1995 0:00,total depth in shale,183,295,478,40.021306,-91.086866
65,1.20E+11,WFORMATIONS,nan,nan,SS #1584,0,0,0,40.021306,-91.086866
66,1.20E+11,WFORMATIONS,nan,nan,"dolomite,slightly sandy,buff,fine",5,180,185,40.021306,-91.086866
67,1.20E+11,WFORMATIONS,nan,nan,"dolomite,sy,silty,light gray,fine",10,170,180,40.021306,-91.086866
68,1.20E+11,WFORMATIONS,nan,nan,"ls,chty,f/crs,med gry;dol,f,brn-gry",10,280,290,40.021306,-91.086866
69,1.20E+11,WFORMATIONS,nan,nan,"ls,med gry & bf,f/crs,crinoidal",5,255,260,40.021306,-91.086866
70,1.20E+11,WFORMATIONS,nan,nan,"ls,ptly argil,med&brnsh gry,f/crs,crinl",10,245,255,40.021306,-91.086866
71,1.20E+11,WFORMATIONS,nan,nan,"ls,slgt s & chty,f/crs,lgt & med gry",5,260,265,40.021306,-91.086866
72,1.20E+11,WFORMATIONS,nan,nan,"ls,slgtly chty,med gry,f to coarse",5,265,270,40.021306,-91.086866
73,1.20E+11,WFORMATIONS,nan,nan,"ls,vy chty,lgt to med gry,f/crs",5,290,295,40.021306,-91.086866
74,1.20E+11,WFORMATIONS,nan,nan,"ls,vy chty,med gry,fine to coarse",10,270,280,40.021306,-91.086866
75,1.20E+11,WFORMATIONS,nan,nan,"sh,blk,fm;sh,sty,dk gry,wk",5,125,130,40.021306,-91.086866
76,1.20E+11,WFORMATIONS,nan,nan,"sh,blk,lamd,fm;a ltl ls,argil,blk",15,105,120,40.021306,-91.086866
77,1.20E+11,WFORMATIONS,nan,nan,"sh,blk;sh,sty,dk gry;ls,argil,vy f,crinl",5,130,135,40.021306,-91.086866
78,1.20E+11,WFORMATIONS,nan,nan,"sh,brnsh gry;sh,yl;sh,sty,lgt brn;sh,blk",5,150,155,40.021306,-91.086866
79,1.20E+11,WFORMATIONS,nan,nan,"sh,carb,wk;ltl ls,argil,dk brn,f",10,140,150,40.021306,-91.086866
80,1.20E+11,WFORMATIONS,nan,nan,"sh,slgtly sy,brnsh gry,fm to wk",15,70,85,40.021306,-91.086866
81,1.20E+11,WFORMATIONS,nan,nan,"sh,sty,calc,dk gry,wk;sh,sy,ylsh gry",5,120,125,40.021306,-91.086866
82,1.20E+11,WFORMATIONS,nan,nan,"sh,sty,dolc,med gry,wk;dol,chty,med",15,200,215,40.021306,-91.086866
83,1.20E+11,WFORMATIONS,nan,nan,"sh,sty,dolc,med gry;ss,dolc,brnsh gry,f",15,215,230,40.021306,-91.086866
84,1.20E+11,WFORMATIONS,nan,nan,"sh,sty,med gry;ls,argil,dk gry&brn,vy f",5,135,140,40.021306,-91.086866
85,1.20E+11,WFORMATIONS,nan,nan,"sh,sty,slgt s,dolc,wk;ls,argil,f,brn-gry",5,240,245,40.021306,-91.086866
86,1.20E+11,WFORMATIONS,nan,nan,"sh,sty,slgtly sy,dolc,med gry,weak",10,230,240,40.021306,-91.086866
87,1.20E+11,WFORMATIONS,nan,nan,"sh,sty,slgtly sy,slgtly calc,med gry,wk",20,85,105,40.021306,-91.086866
88,1.20E+11,WFORMATIONS,nan,nan,"shale,dolc,medium gray,weak",15,185,200,40.021306,-91.086866
89,1.20E+11,WFORMATIONS,nan,nan,"si,calc;ss,calc;ls,argil,oolc;sh,med",5,165,170,40.021306,-91.086866
90,1.20E+11,WFORMATIONS,nan,nan,"ss,calc,f,gry;sh,brn-gry;ls,vy f,lgt gry",5,155,160,40.021306,-91.086866
91,1.20E+11,WFORMATIONS,nan,nan,"ss,calc,f/crs;sh,lgt gry;ls,f,chty,gry",5,160,165,40.021306,-91.086866
92,1.20E+11,WFORMATIONS,nan,nan,"till,s,ltl gvl,grn-gry, calc, lime",5,65,70,40.021306,-91.086866
