,API_NUMBER,LATITUDE,LONGITUDE
158,120192702300.0,40.326111,-88.364444
3923,120192197800.0,40.2639,-88.455958
3924,120192199700.0,40.310509,-88.375465
3925,120192199800.0,40.289323,-88.385073
3926,120192206600.0,40.248637,-88.389874
3927,120192206700.0,40.303301,-88.375477
3928,120192213200.0,40.285587,-88.446418
3929,120192213300.0,40.292983,-88.445837
3930,120192238900.0,40.300262,-88.42732
3931,120192239800.0,40.299825,-88.446289
3932,120192241100.0,40.241573,-88.427439
3933,120192241200.0,39.910163,-88.064819
3934,120192242900.0,40.39381,-88.355233
3935,120192254300.0,40.388309,-88.357645
3936,120192254700.0,40.252344,-88.389033
3937,120192254800.0,40.245907,-88.386283
3938,120192256600.0,40.391981,-88.355242
3939,120192280300.0,39.975577,-88.133839
3940,120192284800.0,40.05156,-87.984095
3941,120192291900.0,40.042342,-87.995611
9977,120190074800.0,40.141963,-88.407186
9978,120190075500.0,40.123674,-88.44103
9979,120190075600.0,40.142372,-88.426851
12336,120192391000.0,40.267553,-88.434442
13034,120190058400.0,40.340252,-88.450811
13035,120190058500.0,40.383676,-88.436507
13036,120190058600.0,40.369519,-88.437976
13038,120190058700.0,40.361739,-88.422785
13039,120190058800.0,40.354569,-88.404056
13040,120190058900.0,40.332578,-88.422833
13041,120190059100.0,40.340503,-88.433984
14472,120190057100.0,40.399358,-88.21317
14473,120190057200.0,40.367082,-88.2332
14474,120190057300.0,40.400302,-88.038185
14476,120190057400.0,40.400279,-88.062266
14477,120190057500.0,40.385736,-88.062137
14478,120190057600.0,40.397801,-88.078647
14479,120190057700.0,40.3708,-88.079289
14480,120190057900.0,40.311133,-88.441773
14481,120190058000.0,40.325409,-88.427996
14996,120190013200.0,40.296087,-88.46021
14997,120190013300.0,40.296133,-88.384964
14998,120190013400.0,40.267423,-88.450843
14999,120190013500.0,40.354383,-88.422964
15000,120190013700.0,40.247481,-88.460565
15001,120190013800.0,40.340216,-88.460455
19625,120190113400.0,40.171249,-88.272689
19626,120190113500.0,40.171208,-88.220296
19627,120190113700.0,40.274821,-88.270333
19628,120190113900.0,40.281828,-88.232597
19629,120190114000.0,40.282431,-88.193445
19630,120190114300.0,40.325718,-88.232493
30501,120190043600.0,40.064535,-88.251636
30502,120190043800.0,40.134524,-88.194338
32679,120192256800.0,40.30326,-88.440938
32680,120192258000.0,39.910389,-88.090866
32681,120192272700.0,39.909968,-88.064643
37907,120190000100.0,40.123846,-88.241342
37908,120190001000.0,39.907239,-88.068366
37909,120190001200.0,39.90817,-88.069566
38028,120190001300.0,39.90232,-88.085559
38029,120190001500.0,39.98569,-88.259883
38039,120190011800.0,40.391979,-88.357624
38040,120190015600.0,40.391978,-88.362381
38041,120190016500.0,40.321111,-88.30775
38042,120190017900.0,40.375646,-88.34115
38043,120190018000.0,39.967674,-88.271369
38044,120190018200.0,39.91539,-88.159587
38045,120190018300.0,40.187,-88.102897
38046,120190027400.0,40.378503,-88.222263
38047,120190053700.0,40.173467,-88.102351
38048,120190053800.0,40.262419,-88.378642
38049,120190054500.0,40.394629,-88.355144
38050,120190054600.0,40.389258,-88.34817
38051,120190054700.0,40.395368,-88.356197
38052,120190060600.0,39.890957,-88.298669
38053,120190061400.0,39.880135,-88.298446
38054,120190061700.0,39.880169,-88.293719
38055,120190061900.0,39.889197,-88.29628
38056,120190062000.0,39.8946,-88.293969
38057,120190062500.0,39.898226,-88.298745
38058,120190062600.0,39.907287,-88.301137
38059,120190062700.0,39.887333,-88.308154
38060,120190062800.0,39.881989,-88.291388
38061,120190062900.0,39.880062,-88.308153
38062,120190063000.0,40.084208,-88.348372
38063,120190063100.0,39.894535,-88.284481
38064,120190094900.0,40.183997,-88.424206
38065,120190132300.0,40.09085,-88.028832
38066,120190142400.0,40.371006,-87.995524
54416,120192497500.0,39.879175,-88.386807
55792,120190028000.0,40.281789,-88.412446
60559,120192383600.0,40.053146,-87.982922
63977,120190015401.0,40.274584,-88.40381
63978,120190015301.0,40.281796,-88.412856
63979,120190015501.0,40.274615,-88.412911
63980,120190015101.0,40.274752,-88.422752
63982,120190014701.0,40.267121,-88.413021
65036,120190063900.0,40.274356,-88.441252
65037,120190064000.0,40.252718,-88.440814
65038,120190064100.0,40.245199,-88.441552
65039,120190064200.0,40.347281,-88.432206
65040,120190064300.0,40.332902,-88.404178
65041,120190064500.0,40.303619,-88.431961
65161,120190064600.0,40.318489,-88.432775
65162,120190064900.0,40.260885,-88.441464
65163,120190065000.0,40.252732,-88.427574
65164,120190065200.0,40.252798,-88.423031
65165,120190060700.0,40.383639,-88.426476
65166,120190060800.0,40.267179,-88.435266
65167,120190060900.0,39.908963,-88.068259
65168,120190061000.0,39.97874,-88.033789
65169,120190061200.0,40.36188,-88.440604
65170,120190061300.0,40.361804,-88.436756
65171,120190063200.0,40.380222,-88.430119
65172,120190063300.0,40.354816,-88.43613
65173,120190063600.0,40.296334,-88.432066
65174,120190063700.0,40.289013,-88.422672
65175,120190063800.0,40.288813,-88.432207
73712,120190065500.0,40.204197,-88.426453
73713,120190065600.0,40.216803,-88.444467
73714,120190072900.0,40.170763,-88.463105
73715,120190073300.0,40.185491,-88.441188
73716,120190073400.0,40.171309,-88.437227
73717,120190073500.0,40.156903,-88.444032
76655,120192751200.0,40.290047,-88.404667
78734,120192740400.0,40.245357,-88.279641
79450,120192752000.0,40.10492,-88.462015
79451,120192752100.0,40.103108,-88.461998
