field_1,API_NUMBER,TABLE_NAME,WHO,INTERPRET_DATE,FORMATION,THICKNESS,TOP,BOTTOM,LATITUDE,LONGITUDE,Elevation_point_data1
"2620389","121910510500",FORMATION_TOPS, ,nan,Aux Vases,,2978,3003,38.479667,-88.301875,388.828826904297
"2620390","121910510500",FORMATION_TOPS, ,nan,Barlow,,2678,2702,38.479667,-88.301875,388.828826904297
"2620391","121910510500",FORMATION_TOPS, ,nan,Cypress,,2702,2710,38.479667,-88.301875,388.828826904297
"2620392","121910510500",FORMATION_TOPS, ,nan,Glen Dean,,2510,2528,38.479667,-88.301875,388.828826904297
"2803668","121970014500",WFORMATIONS,nan,nan,"clay, gray",7,10,17,41.321386,-88.243101,559.870361328125
"2803669","121970014500",WFORMATIONS,nan,nan,"clay, gray",15,31,46,41.321386,-88.243101,559.870361328125
"2803670","121970014500",WFORMATIONS,nan,nan,soapstone,14,17,31,41.321386,-88.243101,559.870361328125
"2803671","121970014500",WFORMATIONS,nan,nan,"soil, sand, & gravel",10,0,10,41.321386,-88.243101,559.870361328125
"943238","120670052300",WFORMATIONS,nan,nan,blue clay & gravel,50,53,103,40.358956,-91.423943,618.147705078125
"943239","120670052300",WFORMATIONS,nan,nan,clay,52,1,53,40.358956,-91.423943,618.147705078125
"943240","120670052300",WFORMATIONS,nan,nan,limestone,142,103,245,40.358956,-91.423943,618.147705078125
"943241","120670052300",WFORMATIONS,nan,nan,top soil,1,0,1,40.358956,-91.423943,618.147705078125
"556343","120350007800",FORMATION_TOPS,nan,nan,Aux Vases,,2449,2500,39.279519,-88.205335,595.845825195313
"556344","120350007800",FORMATION_TOPS,nan,nan,Barlow,,2218,,39.279519,-88.205335,595.845825195313
"556345","120350007800",FORMATION_TOPS,nan,nan,Benoist,,2403,,39.279519,-88.205335,595.845825195313
"556346","120350007800",FORMATION_TOPS,nan,nan,Chester,,1955,,39.279519,-88.205335,595.845825195313
"556347","120350007800",FORMATION_TOPS,nan,nan,Cypress,,2230,2371,39.279519,-88.205335,595.845825195313
"556348","120350007800",FORMATION_TOPS,nan,nan,Danville Coal #7,,1012,,39.279519,-88.205335,595.845825195313
"556349","120350007800",FORMATION_TOPS,nan,nan,Fredonia,,2555,2680,39.279519,-88.205335,595.845825195313
"556350","120350007800",FORMATION_TOPS,nan,nan,Glen Dean,,2110,2125,39.279519,-88.205335,595.845825195313
"556351","120350007800",FORMATION_TOPS,nan,nan,Golconda,,2173,2230,39.279519,-88.205335,595.845825195313
"556352","120350007800",FORMATION_TOPS,nan,nan,Hardinsburg,,2125,2173,39.279519,-88.205335,595.845825195313
"556353","120350007800",FORMATION_TOPS,nan,nan,Herrin Coal #6,,1075,1081,39.279519,-88.205335,595.845825195313
"556354","120350007800",FORMATION_TOPS,nan,nan,Levias,,2500,2523,39.279519,-88.205335,595.845825195313
"556355","120350007800",FORMATION_TOPS,nan,nan,Mississippian,,1955,,39.279519,-88.205335,595.845825195313
