,API_NUMBER,LATITUDE,LONGITUDE
139189,121450288000,38.072675,-89.556021
133840,121011049200,38.734991,-87.765376
544086,120970208800,42.425437,-88.08833
378825,121252237400,40.305925,-89.815725
83859,121850431200,38.411333,-87.870992
484772,120974615900,42.345515,-88.013329
296984,121974432500,41.454659,-88.198442
405567,121092288600,40.479255,-90.750011
292693,121352421100,39.331667,-89.576944
47133,121630014800,38.222191,-89.706801
534974,120012275700,39.89727,-91.311591
297288,121270002400,37.089121,-88.570645
547569,120192373600,40.096924,-87.983085
85460,121850497300,38.252241,-87.956578
138896,121730166900,39.403729,-88.639232
442736,121830066800,40.137911,-87.684582
237515,120032018900,37.218634,-89.319535
115696,121210496904,38.578807,-89.021655
494151,121370056500,39.8227,-90.566074
425826,120492455200,38.930105,-88.540952
82127,120650215200,38.104971,-88.424417
526856,121772205000,42.495883,-89.576969
312208,121192394000,38.952941,-89.734754
502142,121632406700,38.316836,-90.028038
585815,120112244000,41.46584,-89.516313
268827,121450028200,38.030532,-89.487514
2447,120472391200,38.541732,-88.00229
298386,120313658100,41.656307,-87.9706
498707,121412259800,41.931123,-89.261496
437203,120410104500,39.658649,-88.434888
46955,121590187601,38.812062,-88.170313
285985,120893269300,42.127555,-88.421895
555147,120852095600,42.300761,-90.300113
93008,121930115300,37.928812,-88.09546
307375,121974299200,41.611861,-88.140028
362507,121510016000,37.589771,-88.742877
461113,121114141400,42.44527,-88.213763
445598,121872095100,40.932848,-90.646692
324794,121252290500,40.150097,-89.733393
367088,120132030000,39.34834,-90.782139
408292,120893501600,42.094989,-88.404965
605556,121913328500,38.552571,-88.310562
524546,121732219700,39.354776,-88.479077
300019,120975187600,42.24064,-88.170363
302623,121114480600,42.301156,-88.388098
465869,120852223600,42.414552,-90.161148
316760,121433030500,40.744993,-89.895853
4747,120333055900,39.078635,-87.720405
56911,121933107401,38.131178,-88.005548
36095,121012899700,38.725412,-87.77555
486988,121572310300,37.968771,-89.677872
386524,121032179700,41.800638,-89.249709
310224,121172316000,39.121085,-89.728954
54408,121012862501,38.642406,-87.715977
92038,121910097700,38.550695,-88.368648
546051,120972403600,42.159625,-88.01101
404258,120352250400,39.2971,-88.130748
335455,121210549600,38.664716,-88.874213
544739,120972513000,42.394698,-88.145972
424615,122032109700,40.920968,-89.400868
572755,120732211000,41.304959,-89.858221
442497,121832263500,39.967318,-87.846034
316072,120712107400,40.925052,-90.937336
634944,121630246800,38.422899,-89.861331
505408,121650155100,37.719455,-88.694858
118812,121070030100,40.220339,-89.361783
31320,121210311900,38.478089,-88.982985
511231,121972878100,41.472753,-88.175273
637115,120590337100,37.658447,-88.254279
214651,121332078700,38.194946,-90.055919
395572,120973244600,42.392337,-88.134529
157811,120331028300,38.909749,-87.726278
188062,120992785000,41.483334,-89.154292
50099,120330399300,38.995545,-87.875389
303803,121112226200,42.246242,-88.391317
404040,120350118500,39.283407,-88.231665
563093,120492252400,39.144279,-88.502289
487017,121572494900,38.144732,-89.741344
501925,121630288500,38.563919,-89.84826
22942,120270201500,38.585303,-89.361128
227642,121970114200,41.310595,-88.238094
183075,120250036201,38.900323,-88.41696
474406,120310222000,41.726991,-87.780524
130560,120333175000,38.96859,-87.867055
174354,120230077500,39.290947,-87.655642
61508,121013036100,38.682689,-87.724458
29613,120232713200,39.287049,-87.883476
67591,120590033402,37.835059,-88.083243
160192,120810233300,38.237482,-88.861719
559866,120892663500,41.985386,-88.37456
38333,120050051100,38.946516,-89.566483
8901,120331696700,39.05953,-87.929214
277023,120910079200,41.261785,-87.66288
331843,121832528900,40.145238,-87.610615
452389,120973761300,42.40357,-88.036283
527293,121772149800,42.31656,-89.623461
509170,121972505200,41.471543,-87.918487
138569,121730098100,39.565452,-88.883514
380767,120152182100,42.024509,-90.119214
65931,121930524600,38.047266,-88.131048
270785,121450207900,37.958616,-89.330928
319887,121192757500,38.702662,-90.073734
11767,121010856500,38.691861,-87.6859
430072,121113406100,42.441273,-88.643476
528958,121792193400,40.545509,-89.319158
250318,120492373900,39.017188,-88.516919
22796,120230202500,39.273112,-87.908465
201693,120975091800,42.207867,-87.973533
545209,120972453000,42.21263,-88.051829
558440,120892889400,41.980687,-88.598656
65345,120330304300,38.999312,-87.719518
556918,120890141400,41.827617,-88.470086
264567,121433189400,40.761907,-89.945151
388870,121072183800,39.943198,-89.228319
508797,121732280500,39.418597,-88.591717
440347,120412234700,39.800199,-88.083346
467214,120333641600,39.049434,-87.806245
84608,121850465400,38.349801,-87.866166
70760,121930041800,37.918879,-88.271602
50208,120330701900,39.143446,-87.923518
297325,121974424300,41.587217,-88.177884
389401,121110113000,42.249824,-88.251332
111157,120330317900,38.869363,-87.607739
148682,121930519300,38.060804,-88.059443
360886,121632484600,38.443436,-90.024507
52407,120332456400,39.045996,-87.847174
491705,121612188100,41.444913,-90.551826
121980,121672247600,39.72152,-89.449606
592225,120192530300,40.285854,-88.139002
418534,121952312900,41.801311,-89.698262
168603,121150069100,39.86024,-89.020612
453347,120992384200,41.563125,-88.893232
369209,120132010400,39.295314,-90.649101
186159,120230126600,39.300654,-87.921042
226465,121970320300,41.536361,-88.049584
595075,120314336000,41.846791,-87.645294
178508,121010282300,38.734521,-87.797948
611334,120314257800,41.844079,-87.744213
339276,121310011400,41.261883,-90.581153
382194,120992425100,41.182579,-88.979496
436216,120372174100,42.122653,-88.693376
382870,120992441700,41.529927,-88.684393
556618,120892203900,41.829326,-88.362303
512200,121972740200,41.535702,-87.952164
503285,121650024600,37.752938,-88.531116
208574,121973810100,41.565533,-87.949584
367964,120150020900,41.966964,-89.705455
447984,121892322700,38.472534,-89.507185
128290,120230109700,39.289144,-87.916723
145697,120470056800,38.460912,-88.146596
250675,120510207700,38.835094,-88.776829
52905,120313218600,42.013741,-87.945186
369109,120172031000,40.033788,-90.170345
274938,121570152600,38.198151,-89.793173
472595,120310251300,41.819258,-87.762519
274018,121570122300,38.003021,-89.614162
73200,120510442100,39.099629,-88.888376
436853,120410084800,39.797444,-88.271306
36902,121592424800,38.820496,-88.13549
457560,120192596800,40.08315,-88.115662
203568,120992800600,41.098639,-88.931528
38611,121913009600,38.533992,-88.301807
544374,120970132500,42.394274,-88.054305
293720,120852567000,42.371588,-90.409046
533541,120192494300,40.17179,-88.457008
221397,120710017200,40.738679,-90.975357
23055,120270088700,38.537504,-89.145438
483391,121092284500,40.314471,-90.738126
489340,121592378000,38.69898,-88.176441
351724,120852355400,42.353011,-90.394119
539225,121292085100,40.004765,-89.632518
422455,122012818100,42.466992,-89.038419
193398,121590281200,38.698819,-88.22088
236456,120010102000,39.801476,-91.183902
25501,120331584100,39.036802,-87.819062
329786,121973287300,41.390843,-87.95976
29105,121090025900,40.337925,-90.864879
473051,120310104200,42.120939,-87.852401
214075,120752297400,40.839736,-87.9404
159723,120330997100,38.878778,-87.650558
29451,121190034400,38.754539,-89.874389
300956,120812381300,38.143773,-88.749537
580495,121112530700,42.360093,-88.251223
19195,120450044000,39.599124,-87.850928
184863,121933145000,37.954498,-88.295562
249592,120432942900,41.877539,-88.191091
80917,120650095500,37.948276,-88.658895
136756,121010556300,38.842342,-87.671578
256042,120893395900,42.143643,-88.516819
323704,120272718600,38.66765,-89.311749
321737,120992615500,41.322848,-88.965691
88722,120330595701,39.059823,-87.845605
45806,121210305500,38.509642,-88.968374
99474,121930641100,38.00605,-88.055141
229983,121972488100,41.412302,-87.587845
329092,121113652100,42.427149,-88.22365
102587,121910050700,38.418223,-88.528956
405949,121832596700,40.15165,-87.683987
417920,120953251600,40.856711,-90.217272
300047,120012317300,39.994617,-91.4462
441436,120432439000,41.848518,-88.047891
345009,121052339900,40.866604,-88.376186
336898,121310031100,41.183257,-90.740462
617418,120314655100,41.761811,-87.632973
580606,121112423300,42.216629,-88.200071
623432,121013273400,38.710867,-87.702451
247932,120452145200,39.591728,-87.654269
288044,121672585000,39.684949,-89.465591
635945,120572355600,40.447787,-89.98795
136446,121910656101,38.387346,-88.303758
514742,121973086200,41.719894,-88.182788
525265,121732323700,39.404694,-88.580025
511655,121972725500,41.701954,-88.193506
541916,120970061600,42.280813,-87.884622
43692,121730124901,39.298737,-88.75359
154323,121470001500,40.038747,-88.54989
217208,120572426100,40.394092,-90.132568
587461,121592592000,38.782569,-88.095507
580249,121112292500,42.191107,-88.28406
412250,121114040700,42.351848,-88.235236
60528,121910616501,38.445428,-88.363746
497502,121412294400,42.143228,-89.593127
558495,120892328700,41.937585,-88.446391
545506,120970388500,42.458374,-87.882593
136436,121910187201,38.39271,-88.296782
483837,120974604800,42.352088,-88.08403
616449,120314801900,41.867032,-87.634049
476165,120312653900,42.016462,-88.005025
37051,120010041700,39.86756,-90.984655
513775,121973130000,41.431267,-88.227317
365358,120472438000,38.380037,-88.012463
477480,120312462500,41.617456,-87.813038
591197,121013137000,38.688071,-87.732582
180112,121013125200,38.740441,-87.762187
486809,121570166900,38.183388,-89.769626
341444,121332182100,38.186303,-90.140885
549687,120212454800,39.390742,-89.040958
628914,121890244300,38.415075,-89.694493
203962,121114340300,42.308778,-88.356528
559039,120892724100,41.964011,-88.429926
25459,120331498700,39.066177,-87.891244
247857,120490140000,39.030692,-88.653414
367389,120112197100,41.499601,-89.681944
14968,120810158600,38.331119,-88.748619
509315,121972432000,41.538212,-88.026917
156446,120230501600,39.299704,-87.926969
102331,120050076800,38.961037,-89.505668
207672,121612402700,41.536153,-90.431767
634082,121930816900,38.155547,-88.225851
517334,121990005200,37.788657,-88.783014
397017,120973414800,42.456355,-88.100645
180164,121930234301,37.919017,-88.320534
117841,121010574203,38.652602,-87.706034
280515,120912354500,41.193206,-87.762995
251852,121113782700,42.297363,-88.492726
333369,121792331900,40.574034,-89.63521
478115,120312627000,41.792878,-87.580077
570082,120690003600,37.491568,-88.224718
265848,121433223700,40.763264,-89.954194
124958,121910184900,38.473142,-88.436806
272973,121530009700,37.186303,-89.111252
410484,121192876000,38.836156,-90.084494
122212,121850266400,38.515965,-87.929057
222797,120692072800,37.492723,-88.391536
269139,121432463500,40.737203,-89.678561
476899,120312670700,41.856111,-87.826149
303295,121114479200,42.198912,-88.30176
311718,121192383500,38.830515,-90.037808
137226,121050029300,41.052322,-88.931137
425916,120032045200,37.215119,-89.42303
247001,120432875000,41.874008,-88.181346
467655,121432525200,40.588782,-89.87268
95682,120510268100,39.032358,-88.870101
613284,120314852400,41.95,-87.476667
507645,121672267000,39.846075,-89.274213
545511,120970389000,42.435302,-87.860647
285830,120953266000,40.992778,-90.185833
483915,121792448200,40.668417,-89.46283
335870,121232056400,41.000904,-89.402435
247718,120490138800,39.031578,-88.535923
353906,121310038400,41.220982,-90.687766
92413,121910437800,38.343067,-88.504904
183490,120333566500,39.055953,-87.875088
128935,120270082600,38.677124,-89.270966
525195,121732235100,39.240374,-88.526164
443165,121832279100,40.267321,-87.647166
455252,120990119300,41.586055,-88.918717
319518,121113771500,42.228589,-88.611462
279599,120932153200,41.604933,-88.278326
387908,121090076300,40.420229,-90.693834
496799,121392096300,39.718377,-88.48347
220317,120632249100,41.339311,-88.397157
167381,121050072701,41.035828,-88.698668
333033,121672592400,39.810098,-89.607233
1067,120333111000,39.002202,-87.83766
27344,121010814100,38.719197,-87.772261
64415,120550222401,38.075503,-88.89066
342304,121352295900,39.101655,-89.488423
631013,121170112700,39.252867,-89.970849
602358,120152213200,42.182222,-89.876389
396598,120973544500,42.382019,-88.135577
111281,120330637500,39.001142,-87.874058
540196,120932272600,41.645204,-88.5806
438788,120430097400,41.757917,-88.063938
564718,120532060300,40.558215,-88.414734
559090,120892818800,42.07888,-88.297791
439729,120430199300,41.830399,-88.169594
178179,121010267400,38.629851,-87.69071
368606,120112144300,41.359033,-89.664026
470110,121933175400,38.227361,-87.978908
