,API_NUMBER,TABLE_NAME,WHO,INTERPRET_DATE,FORMATION,THICKNESS,TOP,BOTTOM,LATITUDE,LONGITUDE
615671,120410068000,WFORMATIONS,nan,nan,"dol,wh,ptly vugy,chty",118.0,0.0,118.0,39.809712,-88.266917
615672,120410068000,WFORMATIONS,nan,nan,"dol,wh/gry/bf,vugy,O stn,vy slgtly sy",2.0,118.0,120.0,39.809712,-88.266917
615673,120410068000,WFORMATIONS,nan,nan,no samples(120-211'),91.0,120.0,211.0,39.809712,-88.266917
501258,120314827800,WFORMATIONS,nan,nan,clay,4.0,0.0,4.0,41.786732,-87.58527
501259,120314827800,WFORMATIONS,nan,nan,hard gray clay,5.0,64.0,69.0,41.786732,-87.58527
501260,120314827800,WFORMATIONS,nan,nan,limestone,22.0,80.0,102.0,41.786732,-87.58527
501261,120314827800,WFORMATIONS,nan,nan,limestone w/ streaks of silty sandstone,99.0,406.0,505.0,41.786732,-87.58527
501262,120314827800,WFORMATIONS,nan,nan,sand,5.0,4.0,9.0,41.786732,-87.58527
501263,120314827800,WFORMATIONS,nan,nan,sandy clay w/ gravel,11.0,69.0,80.0,41.786732,-87.58527
501264,120314827800,WFORMATIONS,nan,nan,sandy limstone,304.0,102.0,406.0,41.786732,-87.58527
501265,120314827800,WFORMATIONS,nan,nan,silty clay,55.0,9.0,64.0,41.786732,-87.58527
1760691,121132299100,WFORMATIONS,nan,nan,blue clay,63.0,11.0,74.0,40.38413,-88.866388
1760692,121132299100,WFORMATIONS,nan,nan,sand,16.0,74.0,90.0,40.38413,-88.866388
1760693,121132299100,WFORMATIONS,nan,nan,top soil,2.0,0.0,2.0,40.38413,-88.866388
1760694,121132299100,WFORMATIONS,nan,nan,yellow clay,9.0,2.0,11.0,40.38413,-88.866388
1782371,121132508600,WFORMATIONS,nan,nan,black clay,3.0,0.0,3.0,40.422867,-88.553707
1782372,121132508600,WFORMATIONS,nan,nan,gravel,1.0,183.0,184.0,40.422867,-88.553707
1782373,121132508600,WFORMATIONS,nan,nan,gravel,1.0,297.0,298.0,40.422867,-88.553707
1782374,121132508600,WFORMATIONS,nan,nan,gravel,17.0,321.0,338.0,40.422867,-88.553707
1782375,121132508600,WFORMATIONS,nan,nan,gravel & gray clay,1.0,106.0,107.0,40.422867,-88.553707
1782376,121132508600,WFORMATIONS,nan,nan,gray clay,17.0,280.0,297.0,40.422867,-88.553707
1782377,121132508600,WFORMATIONS,nan,nan,gray clay,23.0,298.0,321.0,40.422867,-88.553707
1782378,121132508600,WFORMATIONS,nan,nan,gray clay,36.0,234.0,270.0,40.422867,-88.553707
1782379,121132508600,WFORMATIONS,nan,nan,gray clay,43.0,184.0,227.0,40.422867,-88.553707
1782380,121132508600,WFORMATIONS,nan,nan,gray clay,76.0,107.0,183.0,40.422867,-88.553707
1782381,121132508600,WFORMATIONS,nan,nan,gray clay,90.0,16.0,106.0,40.422867,-88.553707
1782382,121132508600,WFORMATIONS,nan,nan,green clay,7.0,227.0,234.0,40.422867,-88.553707
1782383,121132508600,WFORMATIONS,nan,nan,sandy gray clay,10.0,270.0,280.0,40.422867,-88.553707
1782384,121132508600,WFORMATIONS,nan,nan,yellow clay,13.0,3.0,16.0,40.422867,-88.553707
1077256,120850033200,WFORMATIONS,nan,nan,Galena Platteville lime,3.0,255.0,258.0,42.41701,-89.931923
1077257,120850033200,WFORMATIONS,nan,nan,"dol,argil,f/crs;scttrd rd brn sh ptgs",134.0,66.0,200.0,42.41701,-89.931923
1077258,120850033200,WFORMATIONS,nan,nan,"dolomite,slgtly chty,lgt brnsh gry,f/crs",55.0,200.0,255.0,42.41701,-89.931923
1077259,120850033200,WFORMATIONS,nan,nan,hard gray rock,15.0,50.0,65.0,42.41701,-89.931923
1077260,120850033200,WFORMATIONS,nan,nan,sandy blue clay,20.0,30.0,50.0,42.41701,-89.931923
1077261,120850033200,WFORMATIONS,nan,nan,"shale,dolc,tough,depauperate fossils",1.0,65.0,66.0,42.41701,-89.931923
1077262,120850033200,WFORMATIONS,nan,nan,soil,5.0,0.0,5.0,42.41701,-89.931923
1077263,120850033200,WFORMATIONS,nan,nan,yellow clay,25.0,5.0,30.0,42.41701,-89.931923
2419732,121770023700,WFORMATIONS,nan,nan,abstract,15.0,180.0,195.0,42.34322,-89.877428
2419733,121770023700,WFORMATIONS,nan,nan,abstract,15.0,195.0,210.0,42.34322,-89.877428
2419734,121770023700,WFORMATIONS,nan,nan,"dol,sty,sy,argil,spkld,gry,f/med(Ion bl)",15.0,210.0,225.0,42.34322,-89.877428
2419735,121770023700,WFORMATIONS,nan,nan,"dolomite,cherty,lgt brnsh gry,f/med,por",60.0,120.0,180.0,42.34322,-89.877428
2419736,121770023700,WFORMATIONS,nan,nan,"dolomite,light brownish gray,f/med,por",45.0,75.0,120.0,42.34322,-89.877428
2419737,121770023700,WFORMATIONS,nan,nan,"dolomite,tan,fine to medium porous",60.0,15.0,75.0,42.34322,-89.877428
2419738,121770023700,WFORMATIONS,nan,nan,no samples,15.0,0.0,15.0,42.34322,-89.877428
1131866,120892902500,WFORMATIONS,nan,nan,clay,8.0,0.0,8.0,41.97684,-88.302072
1131867,120892902500,WFORMATIONS,nan,nan,clay,18.0,12.0,30.0,41.97684,-88.302072
1131868,120892902500,WFORMATIONS,nan,nan,sand gravel,4.0,8.0,12.0,41.97684,-88.302072
1131869,120892902500,WFORMATIONS,nan,nan,sand gravel,72.0,30.0,102.0,41.97684,-88.302072
1210310,120912664200,WFORMATIONS,nan,nan,gravel clay,44.0,25.0,69.0,41.107137,-87.757055
